picture_1,picture_2,picture_3,picture_4,start_imagine,imagine_text_index_1_2,imagine_text_index_3_4,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,start.started,start.stopped,introduction.started,introduction_text.started,introduction_text.stopped,introduction.stopped,prepare.started,task_begin.started,task_begin.stopped,prepare.stopped,view.started,image.started,image.stopped,view.stopped,break_3s.started,fixation.started,fixation.stopped,break_3s.stopped,recall.started,recall_text.started,recall_text.stopped,recall.stopped,imagine.started,imagine.stopped,imagine_condition.started,imagine_condition.stopped,break_5s.started,break_5s.stopped,imagine_txt.started,instruction.started,imagine_txt.stopped,instruction.stopped,imagine_task.started,imagine_task.stopped,fixation_2.started,fixation_2.stopped,end.started,end_text.started,end_text.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.004719792050309479,0.005904374993406236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
,,,,,,,,,,,,,,,0.005924541968852282,0.010288708028383553,20.00189779198263,19.997272707987577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
,,,,,,,,,,,,,,,,,,,19.997319541987963,20.00189779198263,22.015651958063245,21.98503774998244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
dog1.jpg,dog2.jpg,sunflower1.jpg,sunflower3.jpg,0,None,None,0,0,0,0,22.015651958063245,,,,,,,,,,,,22.006253457977436,22.015651958063245,32.01372041704599,32.0012692080345,44.9856901250314,45.001700500026345,48.00375829206314,47.98565699998289,34.997723833075725,35.00231645803433,44.99739758297801,44.98566833301447,47.98567720805295,47.992945292033255,47.99296841700561,47.99299787497148,47.99301079206634,47.99303637503181,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
dog2.jpg,dog12.jpg,sunflower2.jpg,sunflower12.jpg,0,None,None,0,1,1,1,48.00375829206314,,,,,,,,,,,,47.993383749970235,48.00375829206314,,57.9978775420459,70.98613466706593,70.99796158296522,73.99520637502428,73.98203625006136,60.99782158306334,61.00251633301377,70.99796158296522,70.98611062497366,73.98206212499645,73.98333900002763,73.9833652919624,73.98340420797467,73.9834221249912,73.98345820803661,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
dog3.jpg,dog9.jpg,sunflower3.jpg,sunflower7.jpg,0,None,None,0,2,2,2,73.99520637502428,,,,,,,,,,,,73.98394420801196,73.99520637502428,83.98773166700266,83.98242145800032,96.97016041702591,96.9817785830237,99.97745604196098,99.96598974999506,86.98199600004591,86.98621312505566,96.9817785830237,96.97013916703872,99.96601354202721,99.96703825006261,99.96705920796376,99.9670909170527,99.96710487501696,99.9671325830277,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
dog4.jpg,dog7.jpg,sunflower4.jpg,sunflower6.jpg,1,0,3,0,3,3,3,99.97745604196098,,,,,,,,,,,,99.96749562502373,99.97745604196098,109.9710607919842,109.96623191703111,122.95384187507443,122.96573958301451,125.9632289580768,125.94980845798273,112.96603058301844,112.97033537505195,122.96573958301451,122.95382195804268,125.94984545803163,133.954379917006,133.95439762505703,143.95014791702852,143.95017104200087,148.9379976670025,125.96867141698021,125.96867141698021,133.96593875007238,133.96593875007238,133.96593875007238,143.95444025006145,143.95444025006145,148.94919466704596,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
dog5.jpg,dog11.jpg,sunflower5.jpg,sunflower10.jpg,0,None,None,0,4,4,4,148.94919466704596,,,,,,,,,,,,148.93834341701586,148.9662244580686,158.95519679202698,158.95057179196738,171.9385588329751,171.9548014170723,174.94971995800734,174.93875604204368,161.9505236670375,161.9545654170215,171.95024325000122,171.93853495805524,174.93878045806196,174.93885595805477,174.93887508299667,174.93890637496952,174.93892025004607,174.93894941697363,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
dog6.jpg,dog3.jpg,sunflower6.jpg,sunflower8.jpg,0,None,None,0,5,5,5,174.94971995800734,,,,,,,,,,,,174.93936108297203,174.94971995800734,184.9404458750505,184.93479795800522,197.9274064169731,197.93351524998434,200.9325540419668,200.91889874998014,187.93464929203037,187.93909320805687,197.93351524998434,197.9273880419787,200.91892125003505,200.91898783296347,200.9190082079731,200.91903712507337,200.9190510000335,200.91907820804045,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
dog7.jpg,dog5.jpg,sunflower7.jpg,sunflower4.jpg,0,None,None,0,6,6,6,200.9325540419668,,,,,,,,,,,,200.9194722500397,200.9325540419668,210.9251744169742,210.91901383304503,223.90653937496245,223.91805187496357,226.91194295801688,226.90234016696922,213.91856991697568,213.92300337506458,223.91805187496357,223.90651562507264,226.90236441697925,226.9024392500287,226.90245850000065,226.902501875069,226.90251725004055,226.90254649997223,,,,,,,,,,,,,4,001,2025-03-05_14h28.37.417,fmri design,2024.1.5,None,2025-03-05 14h28.53.498356 -0500,
