picture_1,picture_2,picture_3,picture_4,start_imagine,imagine_text_index_1_2,imagine_text_index_3_4,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,start.started,start.stopped,introduction.started,introduction_text.started,introduction.stopped,prepare.started,task_begin.started,task_begin.stopped,prepare.stopped,view.started,image.started,view.stopped,break_3s.started,fixation.started,break_3s.stopped,recall.started,recall_text.started,recall_text.stopped,recall.stopped,fixation.stopped,imagine.started,imagine.stopped,imagine_condition.started,imagine_condition.stopped,break_5s.started,break_5s.stopped,image.stopped,imagine_txt.started,instruction.started,imagine_txt.stopped,instruction.stopped,imagine_task.started,imagine_task.stopped,fixation_2.started,fixation_2.stopped,end.started,end_text.started,end_text.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.005781457992270589,0.007205750094726682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
,,,,,,,,,,,,,,,0.007224125089123845,0.014295416069217026,20.00843904109206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
,,,,,,,,,,,,,,,,,,20.008477249997668,20.013233833014965,22.029810166102834,21.99631587509066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog1.jpg,dog2.jpg,sunflower1.jpg,sunflower3.jpg,0,None,None,0,0,0,0,22.029810166102834,,,,,,,,,,,22.017859125044197,22.029810166102834,32.00898841605522,44.99688062502537,45.00871766603086,47.992592791095376,35.008593333070166,35.013344458071515,45.00871766603086,44.99685437500011,48.01182470808271,47.99261737510096,48.00034395803232,48.0003664160613,48.00039541604929,48.00040791602805,48.00043420807924,,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog2.jpg,dog12.jpg,sunflower2.jpg,sunflower12.jpg,0,None,None,0,1,1,1,48.01182470808271,,,,,,,,,,,48.00077062507626,48.01182470808271,57.997682375018485,70.98082491604146,70.99671412503812,73.98084225005005,60.99297533300705,60.997779875062406,70.99228566605598,70.98080170806497,73.99659916607197,73.98086695803795,73.98188666603528,73.9819079580484,73.98193850007374,73.98195258306805,73.98197991598863,58.00877837499138,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog3.jpg,dog9.jpg,sunflower3.jpg,sunflower7.jpg,0,None,None,0,2,2,2,73.99659916607197,,,,,,,,,,,73.98234975000378,73.99659916607197,83.98050245805643,96.96415358304512,96.98028570809402,99.96453516604379,86.97622937499546,86.98026033304632,96.97582866600715,96.96413166599814,99.98192454106174,99.96455949998926,99.96559087501373,99.96561266609933,99.96564458298963,99.96565862500574,99.96569487499073,83.99255862506106,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog4.jpg,dog7.jpg,sunflower4.jpg,sunflower6.jpg,1,0,3,0,3,3,3,99.98192454106174,,,,,,,,,,,99.96606362506282,99.98192454106174,109.97643829102162,122.96476020803675,122.97661179106217,125.9604775410844,112.97638245800044,112.98097608308308,122.97661179106217,122.96473983302712,125.97641229105648,125.96050104103051,133.96047587506473,133.96049383305945,143.94812987500336,143.94814754102845,148.94870350009296,,125.97641229105648,125.97641229105648,133.9644940000726,133.9644940000726,133.9644940000726,143.96022612508386,143.96463750000112,148.9636210000608,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog5.jpg,dog11.jpg,sunflower5.jpg,sunflower10.jpg,0,None,None,0,4,4,4,148.9636210000608,,,,,,,,,,,148.94911950000096,148.9636210000608,158.94780287507456,171.94811995804776,171.96449920802843,174.94924741599243,161.96077220805455,161.96476475009695,171.96042129106354,171.9480997910723,174.96016220806632,174.9492709999904,174.94934979104437,174.94936887500808,174.94940058304928,174.94941454101354,174.9494436250534,158.96049545810092,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog6.jpg,dog3.jpg,sunflower6.jpg,sunflower8.jpg,0,None,None,0,5,5,5,174.96016220806632,,,,,,,,,,,174.94984158303123,174.96016220806632,184.94508841598872,197.93285099999048,197.94452741602436,200.92842216603458,187.94503816601355,187.94960341602564,197.94452741602436,197.9328307500109,200.94194350007456,200.92844216607045,200.9285020410316,200.92851945804432,200.9285443330882,200.92855579103343,200.92857858305797,184.95026879105717,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog7.jpg,dog5.jpg,sunflower7.jpg,sunflower4.jpg,0,None,None,0,6,6,6,200.94194350007456,,,,,,,,,,,200.92892625008244,200.94194350007456,210.92895950004458,223.91676929104142,223.92825787502807,226.9116690410301,213.92886279104277,213.9333420000039,223.92825787502807,223.91674829099793,226.9201806250494,226.91168904106598,226.91174491599668,226.9117606660584,226.91178183304146,226.9117919160053,226.91181158309337,210.93411470809951,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
